sample size,time limit,particles number,cognitive param,social param,weight,allocation number,fitness score
60,120,25,0.0001,0.0001,0.0001,0,0.3758686184794734
60,120,25,0.0001,0.0001,0.0001,1,0.46803989942724783
60,120,25,0.0001,0.0001,0.0001,2,0.4341498726734931
60,120,25,0.0001,0.0001,0.0001,3,0.357061946500674
60,120,25,0.0001,0.0001,0.0001,4,0.3148599584294889
60,120,25,0.0001,0.0001,0.0001,5,0.2495030238559609
60,120,25,0.0001,0.0001,0.0001,6,0.4278279352379233
60,120,25,0.0001,0.0001,0.0001,7,0.4924203278898014
60,120,25,0.0001,0.0001,0.0001,8,0.47934624838713025
60,120,25,0.0001,0.0001,0.0001,9,0.5115547201931225
60,120,25,0.0001,0.0001,0.0001,10,0.23453334688927976
60,120,25,0.0001,0.0001,0.0001,11,0.603060667793026
60,120,25,0.0001,0.0001,0.0001,12,0.46707508607500386
60,120,25,0.0001,0.0001,0.0001,13,0.48539698136996273
60,120,25,0.0001,0.0001,0.0001,14,0.7644635323818092
60,120,25,0.0001,0.0001,0.0001,15,0.3428902423651698
60,120,25,0.0001,0.0001,0.0001,16,0.5052649812143912
60,120,25,0.0001,0.0001,0.0001,17,0.6832468107910186
60,120,25,0.0001,0.0001,0.0001,18,0.6262087354409546
60,120,25,0.0001,0.0001,0.0001,19,0.413204915773223
60,120,25,0.0001,0.0001,0.0001,20,0.41436583421737794
60,120,25,0.0001,0.0001,0.0001,21,0.4942756332141731
60,120,25,0.0001,0.0001,0.0001,22,0.40717500793173933
60,120,25,0.0001,0.0001,0.0001,23,0.6160938529655643
60,120,25,0.0001,0.0001,0.0001,24,0.3193785172604877
60,120,25,0.0001,0.0001,0.0001,25,0.28153543077645427
60,120,25,0.0001,0.0001,0.0001,26,0.5569640393705597
60,120,25,0.0001,0.0001,0.0001,27,0.3758489425829535
60,120,25,0.0001,0.0001,0.0001,28,0.3798178118188581
60,120,25,0.0001,0.0001,0.0001,29,0.3901097665823341
60,120,25,0.0001,0.0001,0.0001,30,0.3586884649723561
60,120,25,0.0001,0.0001,0.0001,31,0.6906670312900088
60,120,25,0.0001,0.0001,0.0001,32,0.20532477570465893
60,120,25,0.0001,0.0001,0.0001,33,0.7012373637391935
60,120,25,0.0001,0.0001,0.0001,34,0.31922284689200636
60,120,25,0.0001,0.0001,0.0001,35,0.3223057393101582
60,120,25,0.0001,0.0001,0.0001,36,0.35314253933826656
60,120,25,0.0001,0.0001,0.0001,37,0.5415283118583895
60,120,25,0.0001,0.0001,0.0001,38,0.5449066186893881
60,120,25,0.0001,0.0001,0.0001,39,0.46985745692222497
60,120,25,0.0001,0.0001,0.0001,40,0.2503083872498817
60,120,25,0.0001,0.0001,0.0001,41,0.534108066349695
60,120,25,0.0001,0.0001,0.0001,42,0.43230007513575225
60,120,25,0.0001,0.0001,0.0001,43,0.5003329614277893
60,120,25,0.0001,0.0001,0.0001,44,0.3811534680703531
60,120,25,0.0001,0.0001,0.0001,45,0.7058899481994064
60,120,25,0.0001,0.0001,0.0001,46,0.46342897445969666
60,120,25,0.0001,0.0001,0.0001,47,0.4166623465082738
60,120,25,0.0001,0.0001,0.0001,48,0.3843517346592602
60,120,25,0.0001,0.0001,0.0001,49,0.360525377682018
60,120,25,0.0001,0.0001,0.0001,50,0.26323014991309646
60,120,25,0.0001,0.0001,0.0001,51,0.2772727032703388
60,120,25,0.0001,0.0001,0.0001,52,0.4600968426166324
60,120,25,0.0001,0.0001,0.0001,53,0.7357992137907675
60,120,25,0.0001,0.0001,0.0001,54,0.2951266129014597
60,120,25,0.0001,0.0001,0.0001,55,0.628557010159504
60,120,25,0.0001,0.0001,0.0001,56,0.7281964659333553
60,120,25,0.0001,0.0001,0.0001,57,0.6575916204280204
60,120,25,0.0001,0.0001,0.0001,58,0.5011066344205226
60,120,25,0.0001,0.0001,0.0001,59,0.5485349433859408
60,120,25,0.0001,0.0001,0.0001,60,0.6000513367368301
60,120,25,0.0001,0.0001,0.0001,61,0.4995075277569073
60,120,25,0.0001,0.0001,0.0001,62,0.8800264046148563
60,120,25,0.0001,0.0001,0.0001,63,0.7593139373029434
60,120,25,0.0001,0.0001,0.0001,64,0.6013822251340242
60,120,25,0.0001,0.0001,0.0001,65,0.6319681709447479
60,120,25,0.0001,0.0001,0.0001,66,0.39282667085331907
60,120,25,0.0001,0.0001,0.0001,67,0.5549047796884241
60,120,25,0.0001,0.0001,0.0001,68,0.39084528296964993
60,120,25,0.0001,0.0001,0.0001,69,0.3329961732213225
60,120,25,0.0001,0.0001,0.0001,70,0.4452331649216935
60,120,25,0.0001,0.0001,0.0001,71,0.44039341115681774
60,120,25,0.0001,0.0001,0.0001,72,0.4528325308089784
60,120,25,0.0001,0.0001,0.0001,73,0.5701370822225773
60,120,25,0.0001,0.0001,0.0001,74,0.6514222130112801
60,120,25,0.0001,0.0001,0.0001,75,0.44416275887985646
60,120,25,0.0001,0.0001,0.0001,76,0.8227405929371076
60,120,25,0.0001,0.0001,0.0001,77,0.299178163111138
60,120,25,0.0001,0.0001,0.0001,78,0.25948663158549823
60,120,25,0.0001,0.0001,0.0001,79,0.6323410042976002
60,120,25,0.0001,0.0001,0.0001,80,0.31981747073253597
60,120,25,0.0001,0.0001,0.0001,81,0.6380544447215591
60,120,25,0.0001,0.0001,0.0001,82,0.3475393525574891
60,120,25,0.0001,0.0001,0.0001,83,0.5903271840985026
60,120,25,0.0001,0.0001,0.0001,84,0.6141047291511146
60,120,25,0.0001,0.0001,0.0001,85,0.7553657793244863
60,120,25,0.0001,0.0001,0.0001,86,0.3378714942869007
60,120,25,0.0001,0.0001,0.0001,87,0.5078255695449918
60,120,25,0.0001,0.0001,0.0001,88,0.4780556926215104
60,120,25,0.0001,0.0001,0.0001,89,0.39441145973158626
60,120,25,0.0001,0.0001,0.0001,90,0.2835380984951284
60,120,25,0.0001,0.0001,0.0001,91,0.34051391015718235
60,120,25,0.0001,0.0001,0.0001,92,0.29362601673297034
60,120,25,0.0001,0.0001,0.0001,93,0.35539537974528274
60,120,25,0.0001,0.0001,0.0001,94,0.8011878410776885
60,120,25,0.0001,0.0001,0.0001,95,0.5758030672329857
60,120,25,0.0001,0.0001,0.0001,96,0.54286130902768
60,120,25,0.0001,0.0001,0.0001,97,0.47539484693730993
60,120,25,0.0001,0.0001,0.0001,98,0.3631703100265948
60,120,25,0.0001,0.0001,0.0001,99,0.4673680274466916
60,120,25,0.0001,0.0001,0.1,0,0.3303617630939014
60,120,25,0.0001,0.0001,0.1,1,0.4165798657124731
60,120,25,0.0001,0.0001,0.1,2,0.4063716567237614
60,120,25,0.0001,0.0001,0.1,3,0.39310522612822235
60,120,25,0.0001,0.0001,0.1,4,0.4643289739338681
60,120,25,0.0001,0.0001,0.1,5,0.4898346054060489
60,120,25,0.0001,0.0001,0.1,6,0.45421801084287194
60,120,25,0.0001,0.0001,0.1,7,0.6138283187707047
60,120,25,0.0001,0.0001,0.1,8,0.4851505283091852
60,120,25,0.0001,0.0001,0.1,9,0.6365231243736443
60,120,25,0.0001,0.0001,0.1,10,0.819172565822049
60,120,25,0.0001,0.0001,0.1,11,0.6583335375968666
60,120,25,0.0001,0.0001,0.1,12,0.35373341652126555
60,120,25,0.0001,0.0001,0.1,13,0.506547932681669
60,120,25,0.0001,0.0001,0.1,14,0.516451886565391
60,120,25,0.0001,0.0001,0.1,15,0.22116041064609654
60,120,25,0.0001,0.0001,0.1,16,0.8176287506111861
60,120,25,0.0001,0.0001,0.1,17,0.3790427922165793
60,120,25,0.0001,0.0001,0.1,18,0.4108149031632469
60,120,25,0.0001,0.0001,0.1,19,0.40118989733864324
60,120,25,0.0001,0.0001,0.1,20,0.29763007260596797
60,120,25,0.0001,0.0001,0.1,21,0.4951364778637097
60,120,25,0.0001,0.0001,0.1,22,0.6389900092459379
60,120,25,0.0001,0.0001,0.1,23,0.3738087083589553
60,120,25,0.0001,0.0001,0.1,24,0.4088574507482739
60,120,25,0.0001,0.0001,0.1,25,0.79122560606164
60,120,25,0.0001,0.0001,0.1,26,0.6197147586576208
60,120,25,0.0001,0.0001,0.1,27,0.5392503488005779
60,120,25,0.0001,0.0001,0.1,28,0.3225740566721417
60,120,25,0.0001,0.0001,0.1,29,0.38635602911166333
60,120,25,0.0001,0.0001,0.1,30,0.42136779596936325
60,120,25,0.0001,0.0001,0.1,31,0.34396554306458105
60,120,25,0.0001,0.0001,0.1,32,0.735749884248724
60,120,25,0.0001,0.0001,0.1,33,1.0625726705855834
60,120,25,0.0001,0.0001,0.1,34,0.4218707893208003
60,120,25,0.0001,0.0001,0.1,35,0.3895377623467378
60,120,25,0.0001,0.0001,0.1,36,0.49065915097792745
60,120,25,0.0001,0.0001,0.1,37,0.41952852364804255
60,120,25,0.0001,0.0001,0.1,38,0.2771408538179109
60,120,25,0.0001,0.0001,0.1,39,0.43192190364755867
60,120,25,0.0001,0.0001,0.1,40,0.7630404910134309
60,120,25,0.0001,0.0001,0.1,41,0.3184215343971114
60,120,25,0.0001,0.0001,0.1,42,0.5824694364314098
60,120,25,0.0001,0.0001,0.1,43,0.5365004569886914
60,120,25,0.0001,0.0001,0.1,44,0.303863097148552
60,120,25,0.0001,0.0001,0.1,45,0.7238371259289572
60,120,25,0.0001,0.0001,0.1,46,0.9361541351103069
60,120,25,0.0001,0.0001,0.1,47,1.0578454066763538
60,120,25,0.0001,0.0001,0.1,48,0.5272148090354196
60,120,25,0.0001,0.0001,0.1,49,0.7430155464769164
60,120,25,0.0001,0.0001,0.1,50,0.47131097418565354
60,120,25,0.0001,0.0001,0.1,51,0.21790176777154394
60,120,25,0.0001,0.0001,0.1,52,0.7532608700015081
60,120,25,0.0001,0.0001,0.1,53,0.7698127807738381
60,120,25,0.0001,0.0001,0.1,54,0.3996364452735225
60,120,25,0.0001,0.0001,0.1,55,0.43426885544429183
60,120,25,0.0001,0.0001,0.1,56,0.6006218112426647
60,120,25,0.0001,0.0001,0.1,57,0.9027180280456053
60,120,25,0.0001,0.0001,0.1,58,0.8151532354207068
60,120,25,0.0001,0.0001,0.1,59,0.3598592546911753
60,120,25,0.0001,0.0001,0.1,60,0.32949595490493655
60,120,25,0.0001,0.0001,0.1,61,0.46049774396181786
60,120,25,0.0001,0.0001,0.1,62,0.47348535547448556
60,120,25,0.0001,0.0001,0.1,63,0.3732705626193076
60,120,25,0.0001,0.0001,0.1,64,0.8890367539177729
60,120,25,0.0001,0.0001,0.1,65,0.4719169797427933
60,120,25,0.0001,0.0001,0.1,66,0.5064034240873119
60,120,25,0.0001,0.0001,0.1,67,0.5916818313718547
60,120,25,0.0001,0.0001,0.1,68,0.6098874864258571
60,120,25,0.0001,0.0001,0.1,69,0.24845362283930583
60,120,25,0.0001,0.0001,0.1,70,0.31405836668910925
60,120,25,0.0001,0.0001,0.1,71,0.4142300945778129
60,120,25,0.0001,0.0001,0.1,72,0.6142815629835229
60,120,25,0.0001,0.0001,0.1,73,0.44796644991180196
60,120,25,0.0001,0.0001,0.1,74,0.38313021611739934
60,120,25,0.0001,0.0001,0.1,75,0.5675222297384741
60,120,25,0.0001,0.0001,0.1,76,0.29996880626655886
60,120,25,0.0001,0.0001,0.1,77,0.637434692130088
60,120,25,0.0001,0.0001,0.1,78,0.793676314765219
60,120,25,0.0001,0.0001,0.1,79,0.5268625680741955
60,120,25,0.0001,0.0001,0.1,80,0.8173077126359659
60,120,25,0.0001,0.0001,0.1,81,0.316980069150274
60,120,25,0.0001,0.0001,0.1,82,0.6164465624456923
60,120,25,0.0001,0.0001,0.1,83,0.3699666840551163
60,120,25,0.0001,0.0001,0.1,84,0.4474651022246186
60,120,25,0.0001,0.0001,0.1,85,0.25758558180139657
60,120,25,0.0001,0.0001,0.1,86,0.43848335715520387
60,120,25,0.0001,0.0001,0.1,87,0.6610452705257513
60,120,25,0.0001,0.0001,0.1,88,0.5149351310793618
60,120,25,0.0001,0.0001,0.1,89,0.37624561819312147
60,120,25,0.0001,0.0001,0.1,90,0.2755257642872834
60,120,25,0.0001,0.0001,0.1,91,0.2984955971666121
60,120,25,0.0001,0.0001,0.1,92,0.3156045224914788
60,120,25,0.0001,0.0001,0.1,93,0.47607420614410234
60,120,25,0.0001,0.0001,0.1,94,0.3463950700724756
60,120,25,0.0001,0.0001,0.1,95,0.6051868350591908
60,120,25,0.0001,0.0001,0.1,96,0.5166007533887532
60,120,25,0.0001,0.0001,0.1,97,0.6196196483278287
60,120,25,0.0001,0.0001,0.1,98,0.5742950199772661
60,120,25,0.0001,0.0001,0.1,99,0.3620032322354752
60,120,25,0.0001,0.0001,1,0,0.6670317907573392
60,120,25,0.0001,0.0001,1,1,0.37723510607211336
60,120,25,0.0001,0.0001,1,2,0.3123948132331744
60,120,25,0.0001,0.0001,1,3,0.3722851045607535
60,120,25,0.0001,0.0001,1,4,0.2760373309717785
60,120,25,0.0001,0.0001,1,5,0.45746980616661514
60,120,25,0.0001,0.0001,1,6,0.6965868792916878
60,120,25,0.0001,0.0001,1,7,0.45092754695546877
60,120,25,0.0001,0.0001,1,8,0.559486047758349
60,120,25,0.0001,0.0001,1,9,0.2287279617757385
60,120,25,0.0001,0.0001,1,10,0.853294698391383
60,120,25,0.0001,0.0001,1,11,0.28904347362081656
60,120,25,0.0001,0.0001,1,12,0.427203719615982
60,120,25,0.0001,0.0001,1,13,0.40546998351474495
60,120,25,0.0001,0.0001,1,14,0.4775389692279798
60,120,25,0.0001,0.0001,1,15,0.2741485502404576
60,120,25,0.0001,0.0001,1,16,0.5630222451362384
60,120,25,0.0001,0.0001,1,17,0.4741743253858617
60,120,25,0.0001,0.0001,1,18,0.25012533625439276
60,120,25,0.0001,0.0001,1,19,0.2491536130471994
60,120,25,0.0001,0.0001,1,20,0.43189675144213796
60,120,25,0.0001,0.0001,1,21,0.39843951087402407
60,120,25,0.0001,0.0001,1,22,0.3728737630312586
60,120,25,0.0001,0.0001,1,23,0.6299297342512437
60,120,25,0.0001,0.0001,1,24,0.8734665771876255
60,120,25,0.0001,0.0001,1,25,0.788602590693158
60,120,25,0.0001,0.0001,1,26,0.534522051683975
60,120,25,0.0001,0.0001,1,27,0.682326341648752
60,120,25,0.0001,0.0001,1,28,0.48730611454267986
60,120,25,0.0001,0.0001,1,29,0.5236552243453217
60,120,25,0.0001,0.0001,1,30,0.5457764137672249
60,120,25,0.0001,0.0001,1,31,0.5575357318175365
60,120,25,0.0001,0.0001,1,32,0.7448102876024701
60,120,25,0.0001,0.0001,1,33,0.4529290830527679
60,120,25,0.0001,0.0001,1,34,0.7090425147293138
60,120,25,0.0001,0.0001,1,35,0.677046346534703
60,120,25,0.0001,0.0001,1,36,0.3234356868975108
60,120,25,0.0001,0.0001,1,37,0.20732718045707674
60,120,25,0.0001,0.0001,1,38,0.5450441740207057
60,120,25,0.0001,0.0001,1,39,0.3647107533768879
60,120,25,0.0001,0.0001,1,40,0.26851387400899496
60,120,25,0.0001,0.0001,1,41,0.3256407812096312
60,120,25,0.0001,0.0001,1,42,0.37311555789412115
60,120,25,0.0001,0.0001,1,43,0.8377240541024418
60,120,25,0.0001,0.0001,1,44,0.2611706953554956
60,120,25,0.0001,0.0001,1,45,0.32288797263687075
60,120,25,0.0001,0.0001,1,46,0.7416867737356896
60,120,25,0.0001,0.0001,1,47,0.642947488226609
60,120,25,0.0001,0.0001,1,48,0.5171059241244873
60,120,25,0.0001,0.0001,1,49,0.7679309939846295
60,120,25,0.0001,0.0001,1,50,0.34322627683979706
60,120,25,0.0001,0.0001,1,51,0.8399958172324437
60,120,25,0.0001,0.0001,1,52,0.330181215708365
60,120,25,0.0001,0.0001,1,53,0.8565519213053763
60,120,25,0.0001,0.0001,1,54,0.3621217198508775
60,120,25,0.0001,0.0001,1,55,0.7101105622416319
60,120,25,0.0001,0.0001,1,56,0.6081910117877508
60,120,25,0.0001,0.0001,1,57,0.3823003858818821
60,120,25,0.0001,0.0001,1,58,0.3147174186212155
60,120,25,0.0001,0.0001,1,59,0.28893805849547277
60,120,25,0.0001,0.0001,1,60,0.616278916189116
60,120,25,0.0001,0.0001,1,61,0.2429674602976402
60,120,25,0.0001,0.0001,1,62,0.7943872787665268
60,120,25,0.0001,0.0001,1,63,0.6611117699989921
60,120,25,0.0001,0.0001,1,64,0.33573831454647407
60,120,25,0.0001,0.0001,1,65,0.5527711318760589
60,120,25,0.0001,0.0001,1,66,0.3192187522695352
60,120,25,0.0001,0.0001,1,67,0.3875910098739353
60,120,25,0.0001,0.0001,1,68,0.24087920676453894
60,120,25,0.0001,0.0001,1,69,0.4142486047021349
60,120,25,0.0001,0.0001,1,70,0.4819496472211242
60,120,25,0.0001,0.0001,1,71,0.5047062015289413
60,120,25,0.0001,0.0001,1,72,0.4432268153076191
60,120,25,0.0001,0.0001,1,73,0.4728172695260861
60,120,25,0.0001,0.0001,1,74,0.4579926265830127
60,120,25,0.0001,0.0001,1,75,0.46547182754707467
60,120,25,0.0001,0.0001,1,76,0.4644563285730446
60,120,25,0.0001,0.0001,1,77,0.3399698120683412
60,120,25,0.0001,0.0001,1,78,0.3565003696128036
60,120,25,0.0001,0.0001,1,79,0.6086774227797116
60,120,25,0.0001,0.0001,1,80,0.6403555769688066
60,120,25,0.0001,0.0001,1,81,0.5066968780302773
60,120,25,0.0001,0.0001,1,82,0.501691754186794
60,120,25,0.0001,0.0001,1,83,0.4907998552121563
60,120,25,0.0001,0.0001,1,84,0.9671237256600612
60,120,25,0.0001,0.0001,1,85,0.26266751026683194
60,120,25,0.0001,0.0001,1,86,0.5035363433789655
60,120,25,0.0001,0.0001,1,87,0.3638483342021734
60,120,25,0.0001,0.0001,1,88,0.32659924055575845
60,120,25,0.0001,0.0001,1,89,0.7062484196931058
60,120,25,0.0001,0.0001,1,90,0.8236352572916595
60,120,25,0.0001,0.0001,1,91,0.544448035766599
60,120,25,0.0001,0.0001,1,92,0.29612327684223877
60,120,25,0.0001,0.0001,1,93,0.4066516732447113
60,120,25,0.0001,0.0001,1,94,0.3653059887530895
60,120,25,0.0001,0.0001,1,95,0.4372028593563553
